来源身份批次,成员编号,资产编号,资产类型,标的,输入成员SHA-256,数据库Schema,数据库表,状态,元数据状态,结构证据,限制,解除条件,元数据SHA-256,SchemaSHA-256,授权边界快照SHA-256,成员记录SHA-256
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-82ca837cfd12f3b03f7ca932,DS-000235,数据库元数据,BTC,f1c5147a2e34f6ba05d99991d7e96b60372cf8f3587d7274a6e8f0c390e7197f,celueqing_recorder,processed_ledger,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ff9135732acd7cf23fc0f6065aab8f13262d6ca266acd5a4620c61b325e2c5da,55a8674dcc6d6b621041e277216c9874fd6b798a8861b0a7e487871ae4ca3fb8,a57d3d7ff57bcfc803b4fe90dc4fbd35478c91aa9480af26d70c7288f8e7777f,a8083eba47a345ea81ce3c7755aaa7984e61c34f01ca293e7647f68e8304174b
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-f8f3b3ccb51bd499cc0a7a90,DS-000236,数据库元数据,BTC,98b039adcd5656df11f65ee44b7131ebc40f5750a04b7327545e42606758bd44,celueqing_recorder,raw_trades,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,b433232d61f260754c67189685cba54fb295a847f5c2ae6fad19e9102cd90027,d3bc57df6802db1bd53d4994919199b5fc5842fb84da4e82818f3b5962b4b788,9ba10dda0f518f76084a2e8fa89b8af15de202cc413b9a89d4f783a5470af1f1,746e8e56a3b31b9520f0e1c9ff7cb23a9401b731d53767d038743e34cb68d90d
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-909e04049eca4a3356195dcc,DS-000237,数据库元数据,BTC,3726607d3f48f439672a2470687cbdc27e1513ae4716fbfd7ecfe895db4d10f7,celueqing_recorder,recorder_status,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,37ffadab46f9c3d3e8ce7a897aab36ee77cb2e99b04dfbce72d6887c83bfc310,c3d66c74a1e7862455ca21148d2c223267cc9608c159324a1454ffaa82f3d4c6,157d19a97a9f30102a53c6a9dab9499a68c975dd1ca12138656642e39829c3ce,3b600303108fab5e9e8d4718a40ce895efc5fe94f55256957b50d2cfa04bc6a5
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-c4350e8eb898e37acd11c607,DS-000238,数据库元数据,BTC,270b961e9a166bcdca4fcdee14c4cd7f0f1ad86a75cdc3960672ad622cba43ea,celueqing_recorder,second_bars,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,1fda6ff0785f1735ed71b6d8ce1e729eb3208280d1c1057253c300dcffc11a3a,cca8c7619ad768ed385218d1a60369a616351253f54f9d7459ff87844376c1f4,5358c0f00d76c0fb91904d80a27c82f09e00607191d0501bd688a302036d81ce,d22b1a386c53f09bc6330bceeb3753900181f00367ba8947e54c7778016fa5ec
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-70ff9820b675a6fb1dadcb63,DS-000239,数据库元数据,BTC,117aa34fd7e4061134b2f25dd7f0a2b0d1efa63bd4819c4778a897f004e66d14,celueqing_recorder,shadow_agg_second_bars,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,045d7fcfb962fb77e2ecb77286e0933282f30a7b454bec191710c1ca801cad61,ddc02373a2638ede7403fa6b77757a544ff44331b817edcee1c41ac0467d88fd,bad0ed53318bc080383d226a9fbcab9ab887429f4f66f280a10867c96c2cfc81,9ddf0b06aaf270cb63522a3675a62ee0b36b7e86e41251f29afe97c997f3933e
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-a3518b5c91cfcb0ddebabc49,DS-000240,数据库元数据,BTC,a9f656490ddb8a2c0687c98bf185161c1ff4e8545620daade42c31f3b709cd45,celueqing_recorder,shadow_agg_status,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,88fb12cc277df4d48ed3f2dbe0f24bdd00e4e624f8eadc329f5d6c915065b9e3,634349a51d0bf7507909115ce44577e41b104f493da32f8a39ca6c03564484de,0b5f86fb02118fb83b5444cf6af914b3100e79c1ca3e9fa6b5d7ab69e6af506d,523d65dc2198b4d52083ba73e5065452d522790517c1e6ec9598db8a860587a7
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-2d19f035d654c628059e34b8,DS-000241,数据库元数据,BTC,a3b0dc868567565fbc694d34c2bfbe290d8bce78d7aa8020914d094b03202ca2,celueqing_recorder,shadow_agg_trades,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ab94bc26b18523093953c38e4905aef397aaae3cdf49a13fb01015fe5c1ff2ca,073273d8f486b2936c71a7816b75874669aea7a56efc237f9e8363eab630a284,386b5d45178db7480d75326495d461f1e541f3af1752f5fda54bb5929d750984,44e774b92a047539d9abfb9d949b7e5c9de4ee06335bc5aa88d52fbfd8f863c1
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-2aacde99b3989717dca21e4a,DS-000242,数据库元数据,BTC,f06d1d1e6c27a45590fca5ee63f74b8db5c230132951c25768af2fdb002dade8,celueqing_recovery_test,orders,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,e69e11387534016f9888090e811dbe9631a5228b7d1f90e598c83862946d1a0b,f7b0ce70cb90747e740e2b083572bdbc2065616bf569f0d08a217baa71328663,4bf927f4f77cabb2215737a83b071af2efd9ae2b94781d0b608a69fce9401d78,0be0a63663cf0f7465f6a465068eb61ee31e6e2f338cc2f98811b962929ea48a
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-ec7ec383b739a0789e262abf,DS-000243,数据库元数据,BTC,8f2d433fc50cdb27ebcc8696c2f8aae7aee08cdc738e7e73e2445894e0b6429e,celueqing_recovery_test,research_config,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,9818866cbc723d54bf036faf957fcd0f471d27f4b1d0452c43c3d05f39b6b5ca,0900a2c5e14a85b7fed85a98b4b14f49e5eb0b62de99c61056275f4b0b7377ba,70777cf91e7e6387fb8dd27aad061cbda4c24236af33c8ba9c3a0a3934c744e1,8fe9109bbd2f28e4ff4784d507b0c1abcc5fc35eabbb01e6a560e512f009ddbd
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-a141d598481257020e4c6917,DS-000244,数据库元数据,BTC,d9ccf842fc989b8040673df44f01abefc569defc18f83e6d9c5d50fe594be145,celueqing_recovery_test,research_orders,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,81a01e9688f1debea6951964b3d8967c80ce6b524c12e2de68822875847343a8,c7fe9b2a038731fcf1e96ffe436dcb033658443eaae91b4c56d7375c343dd140,9e86d75a4c8f8d27cb784c16012b77c3c90d6c600ead72dd6de739aba9252c09,bc6220801b6ebad32efb86cd2c1c6d7c06929a927e3ec478a55452eab7c127b3
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-0a136a28fb73960969c8e5ab,DS-000245,数据库元数据,BTC,4a802128b530c664d2cce4467dc90608e80c54df2148a9807f2f73c198908494,celueqing_recovery_test,research_signals,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,69611af39992ddeb2afe5618a37857e257a54f06dfba40fc784a87e0fbe21230,b19c01208ce9e9211abbd0c6fea983c4e64ab120ada367a63cb216cc0ff12db5,ada1d0237628e429dc05f5430d0528f8a2b77c04fe58065c3ab897f3bc84d125,9f8377628ca1c3b75359630debc28723eede8cef9ffc178fab6b16a9359e8ab0
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-58ac48c83dce3eff098110c3,DS-000246,数据库元数据,BTC,7d64dde1f25c3737f64198c66faf0e6ab439a60473cdaa8f3b366cc1220a7b34,celueqing_recovery_test,score_rank_training_runs,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,dbbd206e3f332754be44cad45c7abe2b9e39b0672409536fa1f3f8e8fe2a627f,6713c9ea1e1e2c1bd34341ba3a39414b8a8d26282d8b7dac2a6c9c6e56df1fab,fa2e944a3e333d20d0518d82924a15ff3706fdbed125a20a61413228dbfce3d0,272b88a721b714831f3f82be96a425b28a1fabde67ac3580ed8620f8c6845053
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-6e29ccb46c945b51b7439ea2,DS-000247,数据库元数据,BTC,87e80f8fb7aa338d10f9ea15efd48b34ebc42084728e9ba9869fa6a7eb4ca114,celueqing_recovery_test,simulation_orders,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,9a4498a27c724b2783279b7500dfa82fb73365745d5a74ba7bd56f6546b1a812,a89f7eb2474414cae3fc8e081ed68d3193f614a5cd4e700d8bdccd2c64cef34f,88d1009794d6a644e1290c966c975d3bb15fcc380b59bd0fa219b8da4c25fa7e,f6ef0db0215bcff8bcd1d7aa3c81c7fee84f42f8550087a0c21ead5bb01d88f6
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-380bca61b30402d70b587e35,DS-000248,数据库元数据,BTC,65611c0f1bf5e4f18dfc700ed64ff077d3d9c24f54cb2862a98fe7bafda25358,celueqing_recovery_test,simulation_signals,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,9f00049d6bd756f57f4a0c8785794744462354cb1967f339192091775102aa83,816ac77c89477b5ee4a5a8dfeaa957c744d04e541209d70c59628928246c447c,1c1e409eab9d51b07398ecd11f5d6f42b32423e365d11e79d37fd8cf94b8f029,3d761f8df7acc22d345b641a54294ce6719714549fd05e6ca15206953547d5e1
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-22c7bc4bbe06ea5b6678e8ed,DS-000249,数据库元数据,BTC,aca809161e20675328dc217edad64dd8dba9342aab44d915bd0e824c22863f5e,celueqing_recovery_test,simulation_strategies,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,860e8e561929f5e5a36e56cc2f0283c5904ebb019a093fa6ca600bc075afd14c,a078b5cffb7f5ba0bd3644ae5d19906ffb593cf6829a5821696326dbbb7a9ea9,03841c4a95a5f4a9327c3a8cccebceec62e2fa5ef39473d7f1c48099793bb592,78343eee0ffb2b493176999f0bec45bc773da12355cd181d69124b40e0d90fd5
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-8c2a4928629aa827cfab0bbe,DS-000250,数据库元数据,BTC,ecb0dcb61e3f9dae7d3cae5c9d7891232f850e3a93e93c3a61f67948dbb25d6e,celueqing_recovery_test,simulation_strategy_unit_settings,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ca36a98eabf8908a2a24321acd9ecccb991e5d474075c07dff762b7f2a087d2b,0d0875411412bbdf8086712465b9a22709d847240a6965dd44dc403c486f7e55,2b56b8d0d29c8700ac97a3bd72b6991732057bb1a03edb8886b12dbdbf645ad4,7a0f87933f8e0dc235a4573e42300a3b0f26751ba4de9dfb8d8dbd4e448d6a96
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-5102df4ca999fece2c974d9f,DS-000251,数据库元数据,BTC,b816107fcd9458244e66909d10efec6cd8e2accda1bfe58a8fbf9a0669c0dd53,celueqing_recovery_test,strategies,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ece7b0cbc93cbb1f3615380cd1879ed5bda9786587c46f73ce170ab8a4b04275,e269e1a6cf7167778e47cb97335dc1e4b8e72bb115b7af368933e8b22fd57be1,6ff1af7d1d41b32cbefef68e115ca022992e49e91ce105d928c70b320907d7e5,1528d78757b660c63717ca638bc6033d476e66b9baa2c06473681726cdc9e654
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-0c93b208498bfc5ca89f17bd,DS-000252,数据库元数据,BTC,98ba0e71e4eea4203f58a3df83e1469c57532861305d2639da67bd3bb490d481,crypto_radar,action_items,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ba878372bc9d98f3eba237ce3d45521fff94eb71d2acf7cbe00b0f0a2762765a,e7bed309a70e6c308f02aef97b96e886319e9bcecbf03f92eb9bdcf2cb74c70d,be70c90de6c24681b663e87d64dc4f55ca1869101426a55a5ae79ca07ec893ff,197d6abcfdf31b2b80119b058028eb816b29daf4186d7b012a5f139e9280cfc2
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-a22bc6b5465780acab6f4202,DS-000253,数据库元数据,BTC,6218f5ae411a9a1c1d8031e34c1091dea2dc3f9d8700a756d1665b4011c480c1,crypto_radar,alembic_version,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,97405bd3fc606fb90254df083b683ae82d1647c673aad6eac83609dc7bfd3ea3,4f1f0a5e490893226766b06b2a2cb6c0e57069f92ca8a6707afcb645616db80a,92fe3c3e30671750ea9a8a05fab613557a650c7368e38e8d8e8291a3ba509177,5da2a149a30a179e920cf2192f6763466dde8e620c7dbf434821271e517706f6
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-85c1a57db43cc467bba8305c,DS-000254,数据库元数据,BTC,8fb55f44c4dc05cd2f2f0afb77a649faa69a0513e90690925d91bf432e4f30ff,crypto_radar,analyses,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,a249f1a94012cdcf062bfec0d1220ead076f9d331c688a13645884d0702a11ce,8ef1aecfde447899f3899e57970f21b2076e2d0d498b156f6b6a828ec23b101c,24feb52bc14149d7c52a8d326159fe7b801a074eb93f4e31646a0b61cffe716c,77dae4896142adcfbc83058b370eccb0ec191a074573441f4e899ba678e5ed18
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-73b33d25621fcec938082f43,DS-000255,数据库元数据,BTC,97c901f301044a2160dd66a1a1f59d8d5958ae46cc18f7590c0234c39322f194,crypto_radar,evidence_items,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ef3722d691b83131e8556c1b02dfda8806d5225879b821d697334ae59aff8600,768136452356ef5788cb78eba10761d54be0b1234f9c7a2e31f9d275cfed8153,d8010ba50b91c83315f17e4752985ebdd649a3aa48ea35b119ab32d24844bf7b,807a73a9ffab92886c4aeabb71eeafd7544783884d70862588e0a0d4fb334353
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-efd31016c93ebe09d210630e,DS-000256,数据库元数据,BTC,72946cce48d978d6b90942bd0f99bd012a999fc767a59eaeb63b097815d707a9,crypto_radar,mining_parameters,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,e90fd966e589ae813af17d9f1dd08945f97bd1743e72f17e2062016b52682c49,a8a258e1ab873cb778d6f37663c14b2b945ff005be763d95f3c59b47e7b1deb7,5f7aafdbefac83d1f2f8483c6457a9f5ca3b2e0369ce189821fbc98974d71ca2,fce1a0a0bc7ccc420d588d353b54fcc0b0880e4eff4c18fa6c642657502645f4
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-953e551841d548cda858ff70,DS-000257,数据库元数据,BTC,e9a1adbad68c8e4f0b3f88a4c1d5f5e59207297fe7eb4ea9a6f3e91690974ffb,crypto_radar,opportunities,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,736761783e541b1a9661d249ea98d3aef64f4c50eca8654bdef45217e78a0869,a6cc976eb1a6c809e549a1a9662ecde4ed0d9b23dc6df762e19b31d143dfc081,54537ecac2285ae46d032caf8ab3cb8be8893e44410410cda2d7156ec799dd1e,99e93829170ef5f1de541b6fae4893aa918645694af49389e5aead8ed6cbcdc0
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-d37f2efffb57d6f5ffb06d2d,DS-000258,数据库元数据,BTC,05dc2fcb434d0937800d8432001eafe73e3969f23c72e4e6dccfa8d10a464e89,crypto_radar,opportunity_rules,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,ae4fcd5ff38486880744aede996a1b79f2853cd597aebcf117115dd2b783f824,5dbf2dfc03f18b1ec6d5711323d48f14f891daffc801cd8a2e2fe4fedb447ad6,e743643bc8597954a4ee13a5e7573c4c4b93741f28f27f97ac84c123664b71ab,97dad6a37dbd9dd5b0a7de817e18a974984795e4c0afb5c0094e72abbdab7383
