资产编号,资产类型,服务或项目,位置,候选标的范围,任务-000062扫描状态,任务-000062扫描完整性,任务-000063复验层,任务-000063复验状态,正文读取,证据,解除条件
DS-000247,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/simulation_orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000248,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/simulation_signals,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000249,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/simulation_strategies,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000250,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/simulation_strategy_unit_settings,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000251,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/strategies,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000252,数据库元数据,crypto_radar,MySQL/crypto_radar/action_items,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000253,数据库元数据,crypto_radar,MySQL/crypto_radar/alembic_version,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000254,数据库元数据,crypto_radar,MySQL/crypto_radar/analyses,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000255,数据库元数据,crypto_radar,MySQL/crypto_radar/evidence_items,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000256,数据库元数据,crypto_radar,MySQL/crypto_radar/mining_parameters,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000257,数据库元数据,crypto_radar,MySQL/crypto_radar/opportunities,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000258,数据库元数据,crypto_radar,MySQL/crypto_radar/opportunity_rules,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000259,数据库元数据,crypto_radar,MySQL/crypto_radar/project_assets,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000260,数据库元数据,crypto_radar,MySQL/crypto_radar/project_candidates,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000261,数据库元数据,crypto_radar,MySQL/crypto_radar/project_change_events,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000262,数据库元数据,crypto_radar,MySQL/crypto_radar/project_fact_snapshots,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000263,数据库元数据,crypto_radar,MySQL/crypto_radar/project_funding_rounds,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000264,数据库元数据,crypto_radar,MySQL/crypto_radar/project_social_links,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000265,数据库元数据,crypto_radar,MySQL/crypto_radar/project_sources,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000266,数据库元数据,crypto_radar,MySQL/crypto_radar/project_team_members,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000267,数据库元数据,crypto_radar,MySQL/crypto_radar/projects,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000268,数据库元数据,crypto_radar,MySQL/crypto_radar/risk_assessments,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000269,数据库元数据,crypto_radar,MySQL/crypto_radar/roi_records,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000270,数据库元数据,crypto_radar,MySQL/crypto_radar/scan_observations,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000271,数据库元数据,crypto_radar,MySQL/crypto_radar/scan_runs,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000272,数据库元数据,crypto_radar,MySQL/crypto_radar/score_components,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000273,数据库元数据,crypto_radar,MySQL/crypto_radar/scores,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000274,数据库元数据,crypto_radar,MySQL/crypto_radar/sources,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000275,数据库元数据,event_prob_lab,MySQL/event_prob_lab/forward_events,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000276,数据库元数据,event_prob_lab,MySQL/event_prob_lab/ledger_meta,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000277,数据库元数据,event_prob_lab,MySQL/event_prob_lab/simulation_orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000278,数据库元数据,orderbook,MySQL/orderbook/historical_backfill_files,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000279,数据库元数据,orderbook,MySQL/orderbook/order_book_decision_context_snapshots,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000280,数据库元数据,orderbook,MySQL/orderbook/order_book_feature_buckets,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000281,数据库元数据,orderbook,MySQL/orderbook/order_book_health_events,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000282,数据库元数据,orderbook,MySQL/orderbook/order_book_liquidation_events,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000283,数据库元数据,orderbook,MySQL/orderbook/order_book_liquidation_heatmap_buckets,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000284,数据库元数据,orderbook,MySQL/orderbook/order_book_market_structure_snapshots,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000285,数据库元数据,orderbook,MySQL/orderbook/order_book_micro_events,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000286,数据库元数据,orderbook,MySQL/orderbook/order_book_open_interest,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000287,数据库元数据,orderbook,MySQL/orderbook/order_book_public_context_snapshots,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000288,数据库元数据,orderbook,MySQL/orderbook/order_book_raw_snapshots,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000289,数据库元数据,orderbook,MySQL/orderbook/order_book_risk_states,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000290,数据库元数据,orderbook,MySQL/orderbook/order_book_signal_delivery_acks,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000291,数据库元数据,orderbook,MySQL/orderbook/order_book_signals,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000292,数据库元数据,orderbook,MySQL/orderbook/raw_input_log,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000293,数据库元数据,orderbook,MySQL/orderbook/symbol_metadata,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000294,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/action_items,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000295,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/alembic_version,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000296,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/analyses,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000297,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/evidence_items,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000298,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/mining_parameters,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000299,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/opportunities,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000300,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/opportunity_rules,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000301,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_assets,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000302,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_candidates,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000303,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_change_events,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000304,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_fact_snapshots,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000305,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_funding_rounds,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000306,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_social_links,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000307,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_sources,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000308,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/project_team_members,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000309,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/projects,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000310,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/risk_assessments,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000311,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/roi_records,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000312,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/scan_observations,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000313,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/scan_runs,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000314,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/score_components,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000315,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/scores,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000316,数据库元数据,test_crypto_radar,MySQL/test_crypto_radar/sources,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
